wbid,term,found
WBGene00017548,reproductive system WBbt:0005747,1.0
WBGene00016971,reproductive system WBbt:0005747,1.0
WBGene00000846,reproductive system WBbt:0005747,1.0
WBGene00022466,reproductive system WBbt:0005747,1.0
WBGene00010770,reproductive system WBbt:0005747,1.0
WBGene00022620,reproductive system WBbt:0005747,1.0
WBGene00018319,reproductive system WBbt:0005747,1.0
WBGene00010228,reproductive system WBbt:0005747,1.0
WBGene00015307,reproductive system WBbt:0005747,1.0
WBGene00015978,reproductive system WBbt:0005747,1.0
WBGene00018483,reproductive system WBbt:0005747,1.0
WBGene00008682,reproductive system WBbt:0005747,1.0
WBGene00016811,reproductive system WBbt:0005747,1.0
WBGene00006387,reproductive system WBbt:0005747,1.0
WBGene00009173,reproductive system WBbt:0005747,1.0
WBGene00003373,reproductive system WBbt:0005747,1.0
WBGene00008503,reproductive system WBbt:0005747,1.0
WBGene00019118,reproductive system WBbt:0005747,1.0
WBGene00004041,reproductive system WBbt:0005747,1.0
WBGene00017758,reproductive system WBbt:0005747,1.0
WBGene00019354,reproductive system WBbt:0005747,1.0
WBGene00012319,reproductive system WBbt:0005747,1.0
WBGene00001499,reproductive system WBbt:0005747,1.0
WBGene00015468,reproductive system WBbt:0005747,1.0
WBGene00009270,reproductive system WBbt:0005747,1.0
WBGene00012678,reproductive system WBbt:0005747,1.0
WBGene00008201,reproductive system WBbt:0005747,1.0
WBGene00009385,reproductive system WBbt:0005747,1.0
WBGene00003159,reproductive system WBbt:0005747,1.0
WBGene00000657,reproductive system WBbt:0005747,1.0
WBGene00011434,reproductive system WBbt:0005747,1.0
WBGene00021359,reproductive system WBbt:0005747,1.0
WBGene00018316,reproductive system WBbt:0005747,1.0
WBGene00008753,reproductive system WBbt:0005747,1.0
WBGene00002992,reproductive system WBbt:0005747,1.0
WBGene00022874,reproductive system WBbt:0005747,1.0
WBGene00004984,reproductive system WBbt:0005747,1.0
WBGene00007500,reproductive system WBbt:0005747,1.0
WBGene00022805,reproductive system WBbt:0005747,1.0
WBGene00011915,reproductive system WBbt:0005747,1.0
WBGene00012897,reproductive system WBbt:0005747,1.0
WBGene00018897,reproductive system WBbt:0005747,1.0
WBGene00007433,reproductive system WBbt:0005747,1.0
WBGene00016741,reproductive system WBbt:0005747,1.0
WBGene00019357,reproductive system WBbt:0005747,1.0
WBGene00001860,reproductive system WBbt:0005747,1.0
WBGene00004339,reproductive system WBbt:0005747,1.0
WBGene00001865,reproductive system WBbt:0005747,1.0
WBGene00045418,reproductive system WBbt:0005747,1.0
WBGene00000772,reproductive system WBbt:0005747,1.0
WBGene00015095,reproductive system WBbt:0005747,1.0
WBGene00008707,reproductive system WBbt:0005747,1.0
WBGene00011376,reproductive system WBbt:0005747,1.0
WBGene00000271,reproductive system WBbt:0005747,1.0
WBGene00016681,reproductive system WBbt:0005747,1.0
WBGene00004296,reproductive system WBbt:0005747,1.0
WBGene00019540,reproductive system WBbt:0005747,1.0
WBGene00013966,reproductive system WBbt:0005747,1.0
WBGene00021465,reproductive system WBbt:0005747,1.0
WBGene00006411,reproductive system WBbt:0005747,1.0
