TXNAME	GENEID
lon-1	lon-1
lon-2	lon-2
lon-3	lon-3
lov-1	lov-1
lpd-2	lpd-2
lpd-3	lpd-3
lpd-5	lpd-5
lpd-6	lpd-6
lpd-7	lpd-7
lpd-8	lpd-8
lpd-9	lpd-9
lpl-1	lpl-1
lrk-1	lrk-1
lrp-1	lrp-1
lrp-2	lrp-2
lars-1	lars-1
lars-2	lars-2
lrx-1	lrx-1
lsm-1	lsm-1
lsm-3	lsm-3
lsm-4	lsm-4
lsm-6	lsm-6
lsm-7	lsm-7
lsm-8	lsm-8
lst-1	lst-1
lst-2	lst-2
ccar-1	ccar-1
lst-4	lst-4
lsy-2	lsy-2
ltd-1	ltd-1
lys-3	lys-3
mab-3	mab-3
mab-5	mab-5
mab-7	mab-7
mab-9	mab-9
mab-10	mab-10
mab-20	mab-20
mab-21	mab-21
mab-23	mab-23
mac-1	mac-1
mag-1	mag-1
mai-1	mai-1
map-1	map-1
map-2	map-2
mat-1	mat-1
mat-2	mat-2
mat-3	mat-3
mau-2	mau-2
mau-8	mau-8
max-1	max-1
max-2	max-2
mbf-1	mbf-1
mbk-1	mbk-1
mbk-2	mbk-2
mca-1	mca-1
mca-3	mca-3
mcm-2	mcm-2
mcm-3	mcm-3
mcm-4	mcm-4
mcm-5	mcm-5
mcm-6	mcm-6
mcm-7	mcm-7
mdf-1	mdf-1
mdf-2	mdf-2
mdh-2	mdh-2
mdl-1	mdl-1
mdt-6	mdt-6
mec-1	mec-1
mec-2	mec-2
mec-3	mec-3
mec-4	mec-4
mec-5	mec-5
mec-6	mec-6
mec-8	mec-8
mec-9	mec-9
mec-10	mec-10
mec-14	mec-14
mec-15	mec-15
mec-17	mec-17
mec-18	mec-18
mef-2	mef-2
mei-1	mei-1
mek-1	mek-1
mek-2	mek-2
mel-11	mel-11
mel-26	mel-26
mel-32	mel-32
mep-1	mep-1
mes-2	mes-2
mes-3	mes-3
mes-4	mes-4
mes-6	mes-6
mev-1	mev-1
mex-1	mex-1
mex-3	mex-3
mgl-1	mgl-1
mgl-2	mgl-2
mif-1	mif-1
mif-2	mif-2
mif-3	mif-3
mif-4	mif-4
mig-1	mig-1
mig-2	mig-2
mig-5	mig-5
mig-6	mig-6
mig-13	mig-13
mig-14	mig-14
mig-15	mig-15
mig-17	mig-17
mig-18	mig-18
mig-21	mig-21
mig-22	mig-22
mig-23	mig-23
cogc-1	cogc-1
mix-1	mix-1
mlc-3	mlc-3
mlc-4	mlc-4
mlh-1	mlh-1
mlk-1	mlk-1
mlp-1	mlp-1
mls-1	mls-1
mls-2	mls-2
mml-1	mml-1
mnm-2	mnm-2
moc-1	moc-1
moc-2	moc-2
mod-1	mod-1
mod-5	mod-5
moe-3	moe-3
mog-1	mog-1
mog-2	mog-2
mog-3	mog-3
mog-4	mog-4
mog-5	mog-5
mom-1	mom-1
mom-2	mom-2
mom-5	mom-5
dapk-1	dapk-1
mpk-1	mpk-1
mpk-2	mpk-2
mps-1	mps-1
mpz-1	mpz-1
mre-11	mre-11
mrp-3	mrp-3
mrp-5	mrp-5
mrp-8	mrp-8
mars-1	mars-1
mrt-2	mrt-2
msh-2	msh-2
msh-5	msh-5
msh-6	msh-6
msi-1	msi-1
mtd-1	mtd-1
mtk-1	mtk-1
mtm-1	mtm-1
mtm-3	mtm-3
mtm-5	mtm-5
mtm-6	mtm-6
mtm-9	mtm-9
klf-3	klf-3
mua-3	mua-3
mup-2	mup-2
mup-4	mup-4
mut-2	mut-2
mut-7	mut-7
mxl-1	mxl-1
mxl-2	mxl-2
mxl-3	mxl-3
nab-1	nab-1
nac-1	nac-1
nac-2	nac-2
nac-3	nac-3
nas-1	nas-1
nas-4	nas-4
nas-5	nas-5
nas-6	nas-6
nas-7	nas-7
nas-8	nas-8
nas-9	nas-9
nas-10	nas-10
nas-11	nas-11
nas-12	nas-12
nas-13	nas-13
nas-14	nas-14
nas-15	nas-15
nas-20	nas-20
nas-23	nas-23
nas-25	nas-25
nas-27	nas-27
nas-28	nas-28
nas-29	nas-29
nas-30	nas-30
nas-31	nas-31
nas-32	nas-32
nas-33	nas-33
nas-36	nas-36
nas-37	nas-37
nas-38	nas-38
nas-39	nas-39
nca-2	nca-2
ncl-1	ncl-1
ncr-1	ncr-1
ncr-2	ncr-2
ncs-1	ncs-1
ncs-2	ncs-2
ncs-3	ncs-3
ncx-1	ncx-1
ncx-2	ncx-2
ncx-3	ncx-3
ncx-4	ncx-4
ncx-5	ncx-5
ncx-6	ncx-6
ncx-7	ncx-7
ncx-10	ncx-10
ndc-80	ndc-80
ndg-4	ndg-4
ndx-1	ndx-1
ndx-2	ndx-2
ndx-3	ndx-3
ndx-4	ndx-4
dcap-2	dcap-2
ndx-6	ndx-6
ndx-7	ndx-7
ndx-8	ndx-8
ndx-9	ndx-9
ned-8	ned-8
nex-1	nex-1
nex-2	nex-2
nex-3	nex-3
nex-4	nex-4
nfi-1	nfi-1
nfm-1	nfm-1
nft-1	nft-1
ngn-1	ngn-1
ngp-1	ngp-1
nhl-1	nhl-1
nhl-2	nhl-2
nhl-3	nhl-3
nhr-1	nhr-1
nhr-3	nhr-3
nhr-4	nhr-4
nhr-5	nhr-5
nhr-6	nhr-6
nhr-7	nhr-7
nhr-8	nhr-8
nhr-9	nhr-9
nhr-10	nhr-10
nhr-11	nhr-11
nhr-12	nhr-12
nhr-13	nhr-13
nhr-14	nhr-14
nhr-17	nhr-17
nhr-19	nhr-19
nhr-20	nhr-20
nhr-22	nhr-22
nhr-25	nhr-25
nhr-28	nhr-28
nhr-31	nhr-31
nhr-32	nhr-32
nhr-34	nhr-34
nhr-35	nhr-35
nhr-38	nhr-38
nhr-40	nhr-40
nhr-42	nhr-42
nhr-43	nhr-43
nhr-45	nhr-45
nhr-46	nhr-46
nhr-47	nhr-47
nhr-48	nhr-48
nhr-49	nhr-49
nhr-57	nhr-57
nhr-58	nhr-58
nhr-61	nhr-61
nhr-62	nhr-62
nhr-64	nhr-64
nhr-66	nhr-66
nhr-67	nhr-67
nhr-69	nhr-69
nhr-70	nhr-70
nhr-78	nhr-78
nhr-79	nhr-79
nhr-80	nhr-80
nhr-84	nhr-84
nhr-88	nhr-88
nhr-91	nhr-91
nhr-97	nhr-97
nhr-105	nhr-105
nhr-107	nhr-107
nhr-119	nhr-119
nhr-120	nhr-120
nhr-121	nhr-121
nhr-130	nhr-130
nhr-131	nhr-131
nhr-135	nhr-135
nhr-137	nhr-137
nhr-138	nhr-138
nhx-1	nhx-1
nhx-4	nhx-4
nhx-5	nhx-5
nhx-8	nhx-8
nid-1	nid-1
nlp-1	nlp-1
nlp-2	nlp-2
nlp-3	nlp-3
nlp-5	nlp-5
nlp-6	nlp-6
nlp-7	nlp-7
nlp-8	nlp-8
nlp-9	nlp-9
nlp-10	nlp-10
nlp-11	nlp-11
nlp-12	nlp-12
nlp-13	nlp-13
nlp-14	nlp-14
nlp-15	nlp-15
nlp-16	nlp-16
nlp-17	nlp-17
nlp-18	nlp-18
nlp-19	nlp-19
nlp-20	nlp-20
nlp-21	nlp-21
nlp-23	nlp-23
nlr-1	nlr-1
nlt-1	nlt-1
nmr-1	nmr-1
nmr-2	nmr-2
nmy-1	nmy-1
nmy-2	nmy-2
nnt-1	nnt-1
nos-1	nos-1
nos-2	nos-2
nos-3	nos-3
npa-1	npa-1
npp-1	npp-1
npp-2	npp-2
npp-3	npp-3
npp-4	npp-4
npp-5	npp-5
npp-6	npp-6
npp-7	npp-7
npp-8	npp-8
npp-9	npp-9
npp-10	npp-10
npp-11	npp-11
npp-12	npp-12
npp-13	npp-13
npp-14	npp-14
npp-15	npp-15
npp-16	npp-16
rae-1	rae-1
npp-18	npp-18
npp-19	npp-19
npp-20	npp-20
npr-1	npr-1
npr-2	npr-2
nrf-5	nrf-5
nrf-6	nrf-6
nars-1	nars-1
asns-1	asns-1
nsf-1	nsf-1
nst-1	nst-1
nsy-1	nsy-1
ntl-2	ntl-2
ntl-3	ntl-3
ntl-4	ntl-4
nuc-1	nuc-1
nud-1	nud-1
num-1	num-1
nuo-1	nuo-1
nxf-1	nxf-1
nxf-2	nxf-2
nxt-1	nxt-1
ocr-2	ocr-2
ocr-3	ocr-3
ocr-4	ocr-4
oct-1	oct-1
oct-2	oct-2
odc-1	odc-1
odd-1	odd-1
odd-2	odd-2
blmp-1	blmp-1
odr-2	odr-2
odr-3	odr-3
odr-4	odr-4
odr-7	odr-7
ogt-1	ogt-1
oig-1	oig-1
oig-2	oig-2
oig-3	oig-3
ooc-3	ooc-3
pept-2	pept-2
pept-1	pept-1
pept-3	pept-3
ora-1	ora-1
orc-2	orc-2
osm-1	osm-1
osm-3	osm-3
osm-6	osm-6
osm-7	osm-7
osm-8	osm-8
osm-9	osm-9
osm-10	osm-10
osm-11	osm-11
osm-12	osm-12
ost-1	ost-1
oxi-1	oxi-1
paa-1	paa-1
pabp-2	pabp-2
pad-1	pad-1
pag-3	pag-3
pak-1	pak-1
pal-1	pal-1
pam-1	pam-1
pan-1	pan-1
par-2	par-2
par-3	par-3
par-4	par-4
par-6	par-6
pas-1	pas-1
pas-2	pas-2
pas-3	pas-3
pas-4	pas-4
pas-5	pas-5
pas-6	pas-6
pas-7	pas-7
pat-2	pat-2
pat-3	pat-3
pat-4	pat-4
pat-6	pat-6
pat-9	pat-9
pat-10	pat-10
pax-1	pax-1
pax-3	pax-3
pbo-1	pbo-1
pbo-4	pbo-4
pbs-1	pbs-1
pbs-2	pbs-2
pbs-3	pbs-3
pbs-4	pbs-4
pbs-5	pbs-5
pbs-6	pbs-6
pbs-7	pbs-7
pcm-1	pcm-1
pcn-1	pcn-1
pcp-1	pcp-1
pcs-1	pcs-1
pct-1	pct-1
pdi-2	pdi-2
pdi-3	pdi-3
pdk-1	pdk-1
pdl-1	pdl-1
pdr-1	pdr-1
peb-1	peb-1
pef-1	pef-1
pek-1	pek-1
pen-2	pen-2
pes-1	pes-1
pes-4	pes-4
pes-7	pes-7
pes-8	pes-8
pes-9	pes-9
pes-23	pes-23
pfn-1	pfn-1
pfn-2	pfn-2
pfn-3	pfn-3
pgp-1	pgp-1
pgp-2	pgp-2
pgp-9	pgp-9
pgp-10	pgp-10
pgp-11	pgp-11
pha-2	pha-2
pha-4	pha-4
phb-1	phb-1
phb-2	phb-2
phf-5	phf-5
phg-1	phg-1
pho-4	pho-4
php-3	php-3
phy-2	phy-2
phy-3	phy-3
pie-1	pie-1
pik-1	pik-1
pin-2	pin-2
pis-1	pis-1
pkc-1	pkc-1
pkc-2	pkc-2
pkc-3	pkc-3
pkd-2	pkd-2
plc-1	plc-1
plc-2	plc-2
plc-3	plc-3
plc-4	plc-4
pld-1	pld-1
plg-1	plg-1
pll-1	pll-1
plx-1	plx-1
plx-2	plx-2
parp-1	parp-1
parp-2	parp-2
pmk-1	pmk-1
pmk-2	pmk-2
pmk-3	pmk-3
pmp-1	pmp-1
pmp-2	pmp-2
pmp-3	pmp-3
pmp-4	pmp-4
pmp-5	pmp-5
pmr-1	pmr-1
pms-2	pms-2
pnk-1	pnk-1
pod-1	pod-1
pod-2	pod-2
pop-1	pop-1
pos-1	pos-1
pph-1	pph-1
ppk-1	ppk-1
ppk-2	ppk-2
ppk-3	ppk-3
eif-2Bgamma	eif-2Bgamma
pps-1	pps-1
ppt-1	ppt-1
pqm-1	pqm-1
pqn-8	pqn-8
hgrs-1	hgrs-1
pqn-10	pqn-10
pqn-13	pqn-13
szy-20	szy-20
pqn-16	pqn-16
pqn-18	pqn-18
stam-1	stam-1
pqn-20	pqn-20
pqn-21	pqn-21
pqn-22	pqn-22
pqn-26	pqn-26
pqn-27	pqn-27
sin-3	sin-3
pqn-29	pqn-29
pqn-31	pqn-31
pqn-32	pqn-32
ptrn-1	ptrn-1
pqn-35	pqn-35
pqn-36	pqn-36
pqn-37	pqn-37
mdt-30	mdt-30
pqn-39	pqn-39
abu-12	abu-12
pqn-42	pqn-42
ketn-1	ketn-1
pqn-44	pqn-44
ifet-1	ifet-1
abu-13	abu-13
myrf-1	myrf-1
pqn-48	pqn-48
pqn-51	pqn-51
pqn-53	pqn-53
ebax-1	ebax-1
pqn-59	pqn-59
pqn-62	pqn-62
pqn-63	pqn-63
larp-5	larp-5
pqn-65	pqn-65
pqn-68	pqn-68
pqn-70	pqn-70
pqn-71	pqn-71
pqn-72	pqn-72
pqn-73	pqn-73
pqn-74	pqn-74
pqn-80	pqn-80
pqn-82	pqn-82
pqn-83	pqn-83
pqn-85	pqn-85
pqn-87	pqn-87
pqn-88	pqn-88
pqn-89	pqn-89
pqn-94	pqn-94
abu-14	abu-14
pqn-96	pqn-96
prg-1	prg-1
pri-2	pri-2
prk-1	prk-1
prk-2	prk-2
T19D2.2	T19D2.2
pro-1	pro-1
prpf-4	prpf-4
prp-8	prp-8
prp-21	prp-21
pars-1	pars-1
pars-2	pars-2
prx-1	prx-1
prx-2	prx-2
prx-3	prx-3
prx-5	prx-5
prx-6	prx-6
prx-11	prx-11
prx-12	prx-12
prx-13	prx-13
prx-14	prx-14
prx-19	prx-19
pry-1	pry-1
swsn-1	swsn-1
psr-1	psr-1
pst-1	pst-1
ptb-1	ptb-1
ptc-3	ptc-3
ptd-2	ptd-2
ptl-1	ptl-1
ptp-1	ptp-1
ptp-2	ptp-2
ptp-3	ptp-3
ptr-1	ptr-1
ptr-2	ptr-2
ptr-3	ptr-3
ptr-4	ptr-4
ptr-5	ptr-5
ptr-6	ptr-6
ptr-8	ptr-8
ptr-9	ptr-9
ptr-10	ptr-10
ptr-11	ptr-11
ptr-12	ptr-12
ptr-13	ptr-13
ptr-14	ptr-14
ptr-15	ptr-15
ptr-16	ptr-16
ptr-17	ptr-17
ptr-18	ptr-18
ptr-19	ptr-19
ptr-20	ptr-20
ptr-21	ptr-21
ptr-22	ptr-22
ptr-23	ptr-23
ptr-24	ptr-24
puf-8	puf-8
puf-9	puf-9
pus-1	pus-1
pvf-1	pvf-1
pxf-1	pxf-1
epac-1	epac-1
pxn-1	pxn-1
pxn-2	pxn-2
pyc-1	pyc-1
pyr-1	pyr-1
qua-1	qua-1
qui-1	qui-1
rab-1	rab-1
rab-3	rab-3
rab-7	rab-7
rab-8	rab-8
rab-10	rab-10
rab-11.1	rab-11.1
rab-14	rab-14
rab-18	rab-18
rab-19	rab-19
rab-21	rab-21
rab-28	rab-28
rab-30	rab-30
rab-33	rab-33
rab-35	rab-35
rab-37	rab-37
rab-39	rab-39
rad-50	rad-50
rad-51	rad-51
rad-54	rad-54
ram-5	ram-5
ran-1	ran-1
ran-2	ran-2
ran-3	ran-3
ran-4	ran-4
ran-5	ran-5
rap-1	rap-1
rap-2	rap-2
rap-3	rap-3
ras-1	ras-1
ras-2	ras-2
rba-1	rba-1
rbc-1	rbc-1
rbc-2	rbc-2
rbd-1	rbd-1
rbf-1	rbf-1
rbg-1	rbg-1
rbg-2	rbg-2
rbr-2	rbr-2
rbx-1	rbx-1
rcan-1	rcan-1
rcq-5	rcq-5
rde-1	rde-1
rde-2	rde-2
rde-4	rde-4
rdy-2	rdy-2
ref-1	ref-1
ref-2	ref-2
ret-1	ret-1
rfc-1	rfc-1
rfc-2	rfc-2
rfc-3	rfc-3
rfc-4	rfc-4
rfl-1	rfl-1
rfs-1	rfs-1
rgr-1	rgr-1
rgs-3	rgs-3
rgs-4	rgs-4
rgs-5	rgs-5
rgs-6	rgs-6
rgs-7	rgs-7
rha-1	rha-1
rhi-1	rhi-1
rhr-1	rhr-1
rhr-2	rhr-2
rib-1	rib-1
rib-2	rib-2
ric-3	ric-3
ric-4	ric-4
ric-19	ric-19
rig-1	rig-1
rig-3	rig-3
rig-4	rig-4
rig-5	rig-5
rme-1	rme-1
rme-2	rme-2
rme-4	rme-4
rme-6	rme-6
rme-8	rme-8
rnf-5	rnf-5
rnh-1.0	rnh-1.0
rnh-2	rnh-2
rnp-1	rnp-1
rnp-2	rnp-2
rnp-3	rnp-3
rnp-4	rnp-4
rnp-5	rnp-5
rnp-7	rnp-7
rnr-2	rnr-2
rnt-1	rnt-1
rol-1	rol-1
rol-3	rol-3
rol-6	rol-6
rol-8	rol-8
rom-1	rom-1
rom-2	rom-2
rom-5	rom-5
rla-0	rla-0
rla-1	rla-1
rla-2	rla-2
rpc-1	rpc-1
rpl-1	rpl-1
rpl-2	rpl-2
rpl-3	rpl-3
rpl-4	rpl-4
rpl-5	rpl-5
rpl-6	rpl-6
rpl-7	rpl-7
rpl-7A	rpl-7A
rpl-9	rpl-9
rpl-10	rpl-10
rpl-12	rpl-12
rpl-13	rpl-13
rpl-14	rpl-14
rpl-15	rpl-15
rpl-16	rpl-16
rpl-17	rpl-17
rpl-18	rpl-18
rpl-19	rpl-19
rpl-20	rpl-20
rpl-21	rpl-21
rpl-22	rpl-22
rpl-23	rpl-23
rpl-24.1	rpl-24.1
rpl-24.2	rpl-24.2
rpl-25.1	rpl-25.1
rpl-25.2	rpl-25.2
rpl-26	rpl-26
rpl-28	rpl-28
rpl-29	rpl-29
rpl-30	rpl-30
rpl-31	rpl-31
rpl-32	rpl-32
rpl-33	rpl-33
rpl-34	rpl-34
rpl-35	rpl-35
rpl-36	rpl-36
rpl-38	rpl-38
rpl-36.A	rpl-36.A
rpl-43	rpl-43
rpn-1	rpn-1
rpn-2	rpn-2
rpn-3	rpn-3
rpn-5	rpn-5
rpn-6.1	rpn-6.1
rpn-7	rpn-7
rpn-8	rpn-8
rpn-9	rpn-9
rpn-10	rpn-10
rpn-11	rpn-11
rpn-12	rpn-12
rps-0	rps-0
rps-1	rps-1
rps-2	rps-2
rps-3	rps-3
rps-4	rps-4
rps-5	rps-5
rps-6	rps-6
rps-7	rps-7
rps-8	rps-8
rps-9	rps-9
rps-10	rps-10
rps-11	rps-11
rps-12	rps-12
rps-13	rps-13
rps-14	rps-14
rps-15	rps-15
rps-16	rps-16
rps-17	rps-17
rps-18	rps-18
rps-19	rps-19
rps-20	rps-20
rps-21	rps-21
rps-22	rps-22
rps-24	rps-24
rps-25	rps-25
rps-26	rps-26
rps-27	rps-27
rps-30	rps-30
rpt-1	rpt-1
rpt-2	rpt-2
rpt-3	rpt-3
rpt-4	rpt-4
rpt-5	rpt-5
rpy-1	rpy-1
rrf-3	rrf-3
rars-1	rars-1
rars-2	rars-2
rsd-3	rsd-3
rsd-6	rsd-6
rsp-1	rsp-1
rsp-2	rsp-2
rsp-3	rsp-3
rsp-4	rsp-4
rsp-5	rsp-5
rsp-6	rsp-6
rsp-7	rsp-7
rsp-8	rsp-8
rsr-1	rsr-1
sad-1	sad-1
san-1	san-1
sap-49	sap-49
sas-4	sas-4
sax-1	sax-1
sax-2	sax-2
sax-3	sax-3
sbp-1	sbp-1
sca-1	sca-1
scc-1	scc-1
scc-3	scc-3
scd-2	scd-2
scm-1	scm-1
scp-1	scp-1
sdc-1	sdc-1
sdc-2	sdc-2
sdc-3	sdc-3
sdn-1	sdn-1
sea-2	sea-2
sec-5	sec-5
sec-8	sec-8
sec-23	sec-23
sec-24.1	sec-24.1
sec-24.2	sec-24.2
sek-1	sek-1
sel-1	sel-1
sel-2	sel-2
sel-5	sel-5
sel-7	sel-7
sel-8	sel-8
sel-9	sel-9
sel-10	sel-10
sel-11	sel-11
sel-12	sel-12
sem-2	sem-2
sem-4	sem-4
sem-5	sem-5
ser-1	ser-1
ser-2	ser-2
ser-3	ser-3
ser-4	ser-4
ser-7	ser-7
set-1	set-1
set-2	set-2
seu-1	seu-1
sex-1	sex-1
sft-1	sft-1
sft-4	sft-4
sgk-1	sgk-1
sgn-1	sgn-1
shw-3	shw-3
sid-2	sid-2
sir-2.1	sir-2.1
sir-2.4	sir-2.4
skp-1	skp-1
skr-16	skr-16
skr-17	skr-17
F56B3.4	F56B3.4
skr-20	skr-20
sli-1	sli-1
slo-1	slo-1
slo-2	slo-2
slt-1	slt-1
sma-1	sma-1
sma-2	sma-2
sma-3	sma-3
sma-4	sma-4
sma-5	sma-5
sma-6	sma-6
sma-9	sma-9
smc-3	smc-3
smc-4	smc-4
smd-1	smd-1
smf-3	smf-3
smg-1	smg-1
smg-2	smg-2
smg-3	smg-3
smg-4	smg-4
smg-5	smg-5
smg-6	smg-6
smg-7	smg-7
smi-1	smi-1
smn-1	smn-1
smo-1	smo-1
smp-1	smp-1
smp-2	smp-2
smr-1	smr-1
sms-1	sms-1
sms-2	sms-2
sms-3	sms-3
smu-1	smu-1
smu-2	smu-2
snb-2	snb-2
snf-1	snf-1
snf-3	snf-3
snf-5	snf-5
snf-6	snf-6
snf-9	snf-9
snf-10	snf-10
snf-11	snf-11
snf-12	snf-12
sng-1	sng-1
snn-1	snn-1
snr-1	snr-1
snr-2	snr-2
snr-3	snr-3
snr-4	snr-4
snr-6	snr-6
snr-7	snr-7
snt-1	snt-1
snt-2	snt-2
snt-3	snt-3
snt-4	snt-4
snt-5	snt-5
snt-6	snt-6
snx-1	snx-1
soc-1	soc-1
soc-2	soc-2
sod-1	sod-1
sod-4	sod-4
sol-1	sol-1
sop-3	sop-3
sos-1	sos-1
sox-2	sox-2
sox-3	sox-3
spc-1	spc-1
spd-1	spd-1
spd-2	spd-2
spd-3	spd-3
spd-5	spd-5
spe-4	spe-4
spe-6	spe-6
spe-8	spe-8
spe-9	spe-9
spe-10	spe-10
spe-11	spe-11
spe-12	spe-12
spe-17	spe-17
spe-26	spe-26
spe-27	spe-27
spe-29	spe-29
spe-39	spe-39
spe-41	spe-41
spg-7	spg-7
sph-1	sph-1
spk-1	spk-1
spl-1	spl-1
spn-4	spn-4
spo-11	spo-11
spp-1	spp-1
spp-3	spp-3
spp-7	spp-7
spp-8	spp-8
spp-10	spp-10
spp-11	spp-11
spp-13	spp-13
spp-14	spp-14
spp-15	spp-15
spp-18	spp-18
spp-19	spp-19
spr-1	spr-1
spr-2	spr-2
spr-3	spr-3
spr-4	spr-4
F26F4.8	F26F4.8
spt-4	spt-4
spt-5	spt-5
sqt-1	sqt-1
sqt-2	sqt-2
sqt-3	sqt-3
sqv-1	sqv-1
sqv-2	sqv-2
sqv-3	sqv-3
sqv-4	sqv-4
sqv-5	sqv-5
sqv-6	sqv-6
sqv-7	sqv-7
sqv-8	sqv-8
sra-1	sra-1
sra-10	sra-10
sra-11	sra-11
sra-12	sra-12
sra-13	sra-13
sra-14	sra-14
sra-32	sra-32
sra-35	sra-35
sra-37	sra-37
srb-6	srb-6
src-1	src-1
src-2	src-2
srd-9	srd-9
srd-11	srd-11
srd-32	srd-32
srd-33	srd-33
srd-39	srd-39
srd-49	srd-49
srd-51	srd-51
srd-54	srd-54
srd-55	srd-55
srf-3	srf-3
srg-1	srg-1
srg-2	srg-2
srg-7	srg-7
srg-25	srg-25
srg-31	srg-31
srg-41	srg-41
srg-48	srg-48
srg-69	srg-69
srh-30	srh-30
srh-39	srh-39
srh-44	srh-44
srh-125	srh-125
srh-135	srh-135
sri-20	sri-20
sri-37	sri-37
srm-2	srm-2
sro-1	sro-1
srp-1	srp-1
srp-2	srp-2
srp-3	srp-3
srr-1	srr-1
sars-2	sars-2
sars-1	sars-1
sru-7	sru-7
sru-8	sru-8
sru-40	sru-40
sru-47	sru-47
srv-1	srv-1
srv-2	srv-2
srv-7	srv-7
srx-2	srx-2
srx-41	srx-41
srx-45	srx-45
srx-46	srx-46
srx-59	srx-59
srx-95	srx-95
srx-115	srx-115
srx-125	srx-125
srx-136	srx-136
srx-137	srx-137
ssr-2	ssr-2
sst-20	sst-20
stc-1	stc-1
sth-1	sth-1
stl-1	stl-1
stn-1	stn-1
sto-1	sto-1
sto-2	sto-2
sto-3	sto-3
sto-4	sto-4
sto-5	sto-5
sto-6	sto-6
str-38	str-38
str-113	str-113
str-118	str-118
sue-1	sue-1
suf-1	suf-1
sul-1	sul-1
sul-2	sul-2
sul-3	sul-3
sun-1	sun-1
sup-9	sup-9
sup-10	sup-10
sup-12	sup-12
sup-17	sup-17
sup-26	sup-26
sup-37	sup-37
sur-2	sur-2
sur-5	sur-5
sur-6	sur-6
sur-7	sur-7
swp-1	swp-1
syd-1	syd-1
syd-2	syd-2
syg-1	syg-1
sym-1	sym-1
sym-2	sym-2
sym-3	sym-3
sym-4	sym-4
syx-3	syx-3
syx-2	syx-2
syx-5	syx-5
syx-4	syx-4
syp-1	syp-1
syp-2	syp-2
syp-3	syp-3
sys-1	sys-1
tab-1	tab-1
tac-1	tac-1
taf-1	taf-1
taf-2	taf-2
taf-3	taf-3
taf-4	taf-4
taf-5	taf-5
taf-6.1	taf-6.1
taf-7.2	taf-7.2
taf-8	taf-8
taf-9	taf-9
taf-10	taf-10
taf-11.1	taf-11.1
taf-11.3	taf-11.3
taf-12	taf-12
taf-13	taf-13
fut-3	fut-3
tag-10	tag-10
itsn-1	itsn-1
srgp-1	srgp-1
lim-9	lim-9
tag-18	tag-18
hdl-2	hdl-2
nck-1	nck-1
octr-1	octr-1
nlg-1	nlg-1
raga-1	raga-1
tag-30	tag-30
spl-2	spl-2
asd-2	asd-2
ctbp-1	ctbp-1
tkr-3	tkr-3
tag-51	tag-51
tag-52	tag-52
atrn-1	atrn-1
sdhb-1	sdhb-1
prdx-2	prdx-2
ttn-1	ttn-1
mrck-1	mrck-1
nrfl-1	nrfl-1
tag-63	tag-63
cpna-4	cpna-4
tag-65	tag-65
pak-2	pak-2
shn-1	shn-1
tag-68	tag-68
atx-3	atx-3
tag-72	tag-72
glod-4	glod-4
heh-1	heh-1
aex-4	aex-4
tag-89	tag-89
ppm-1.A	ppm-1.A
tag-96	tag-96
svh-5	svh-5
fntb-1	fntb-1
tag-115	tag-115
magu-2	magu-2
rhgf-1	rhgf-1
tag-120	tag-120
tag-123	tag-123
tag-124	tag-124
tyra-3	tyra-3
chup-1	chup-1
tag-131	tag-131
tmbi-4	tmbi-4
plrg-1	plrg-1
dgk-4	dgk-4
zipt-16	zipt-16
zipt-17	zipt-17
zhit-3	zhit-3
kdin-1	kdin-1
acl-3	acl-3
let-391	let-391
ivns-1	ivns-1
zipt-7.2	zipt-7.2
cgef-1	cgef-1
tag-151	tag-151
ten-1	ten-1
tag-153	tag-153
snx-3	snx-3
kcc-1	kcc-1
lagr-1	lagr-1
tns-1	tns-1
tag-164	tag-164
mtrr-1	mtrr-1
abcf-1	abcf-1
rimb-1	rimb-1
tdp-1	tdp-1
txdc-9	txdc-9
vps-16	vps-16
madd-3	madd-3
bckd-1B	bckd-1B
cox-6A	cox-6A
tag-175	tag-175
abcx-1	abcx-1
tam-1	tam-1
tap-1	tap-1
tax-2	tax-2
tax-4	tax-4
tax-6	tax-6
tbg-1	tbg-1
tbh-1	tbh-1
tbp-1	tbp-1
tbx-2	tbx-2
tbx-7	tbx-7
tbx-11	tbx-11
tbx-34	tbx-34
tcl-2	tcl-2
tdc-1	tdc-1
teg-1	teg-1
tgt-1	tgt-1
tgt-2	tgt-2
thk-1	thk-1
tig-2	tig-2
tim-1	tim-1
tin-9.1	tin-9.1
tin-10	tin-10
tin-13	tin-13
tir-1	tir-1
tkr-1	tkr-1
tlf-1	tlf-1
tli-1	tli-1
tlk-1	tlk-1
tlp-1	tlp-1
tmd-2	tmd-2
tnc-2	tnc-2
tni-1	tni-1
tni-3	tni-3
tni-4	tni-4
tnt-2	tnt-2
tnt-3	tnt-3
tnt-4	tnt-4
toc-1	toc-1
toh-1	toh-1
dpy-31	dpy-31
tol-1	tol-1
tom-1	tom-1
top-1	top-1
top-3	top-3
tpa-1	tpa-1
tph-1	tph-1
tpi-1	tpi-1
tra-1	tra-1
tra-3	tra-3
tre-1	tre-1
tre-2	tre-2
tre-4	tre-4
tre-5	tre-5
trf-1	trf-1
trm-1	trm-1
trp-1	trp-1
trp-2	trp-2
trp-4	trp-4
tars-1	tars-1
trt-1	trt-1
try-1	try-1
svh-1	svh-1
