TXNAME	GENEID
dhs-16	dhs-16
dhs-17	dhs-17
dhs-18	dhs-18
dhs-19	dhs-19
dhs-20	dhs-20
dhs-21	dhs-21
dhs-22	dhs-22
dhs-24	dhs-24
dhs-25	dhs-25
dhs-26	dhs-26
dhs-27	dhs-27
dhs-28	dhs-28
dhs-29	dhs-29
ints-6	ints-6
die-1	die-1
dif-1	dif-1
dim-1	dim-1
dis-3	dis-3
div-1	div-1
dlc-1	dlc-1
dlg-1	dlg-1
dli-1	dli-1
dlk-1	dlk-1
dna-2	dna-2
dnc-1	dnc-1
dnc-2	dnc-2
dnj-3	dnj-3
dnj-4	dnj-4
dnj-5	dnj-5
dnj-7	dnj-7
dnj-8	dnj-8
dnj-9	dnj-9
dnj-10	dnj-10
dnj-11	dnj-11
dnj-12	dnj-12
dnj-13	dnj-13
dnj-14	dnj-14
dnj-15	dnj-15
dnj-17	dnj-17
dnj-18	dnj-18
dnj-19	dnj-19
dnj-20	dnj-20
dnj-21	dnj-21
dnj-22	dnj-22
dnj-23	dnj-23
dnj-24	dnj-24
dnj-25	dnj-25
dnj-28	dnj-28
dnj-29	dnj-29
dnj-30	dnj-30
cks-1	cks-1
dop-1	dop-1
dop-2	dop-2
dpf-1	dpf-1
dpf-2	dpf-2
dpf-3	dpf-3
dpf-4	dpf-4
dpf-5	dpf-5
dpf-6	dpf-6
dpf-7	dpf-7
dpl-1	dpl-1
dpy-1	dpy-1
dpy-2	dpy-2
dpy-3	dpy-3
dpy-4	dpy-4
dpy-5	dpy-5
dpy-6	dpy-6
dpy-7	dpy-7
dpy-8	dpy-8
dpy-9	dpy-9
dpy-10	dpy-10
dpy-11	dpy-11
dpy-13	dpy-13
dpy-14	dpy-14
dpy-17	dpy-17
dpy-18	dpy-18
dpy-19	dpy-19
dpy-20	dpy-20
dpy-21	dpy-21
dpy-22	dpy-22
dpy-23	dpy-23
dpy-26	dpy-26
dpy-27	dpy-27
dpy-28	dpy-28
dpy-30	dpy-30
dre-1	dre-1
drh-1	drh-1
dro-1	dro-1
drp-1	drp-1
dars-1	dars-1
dars-2	dars-2
dsc-1	dsc-1
dsc-4	dsc-4
dsh-1	dsh-1
dsh-2	dsh-2
dsl-7	dsl-7
duo-3	duo-3
dur-1	dur-1
dyb-1	dyb-1
dyc-1	dyc-1
dyf-1	dyf-1
dyf-3	dyf-3
dyf-5	dyf-5
dyf-6	dyf-6
dyf-7	dyf-7
dyf-11	dyf-11
dyf-13	dyf-13
dyn-1	dyn-1
dys-1	dys-1
alp-1	alp-1
eat-2	eat-2
eat-3	eat-3
eat-4	eat-4
eat-5	eat-5
eat-6	eat-6
eat-16	eat-16
eat-18	eat-18
eat-20	eat-20
bcat-1	bcat-1
ech-2	ech-2
ech-3	ech-3
ech-4	ech-4
ech-5	ech-5
ech-6	ech-6
ech-7	ech-7
efk-1	efk-1
efl-1	efl-1
efl-2	efl-2
efn-2	efn-2
efn-4	efn-4
eftu-2	eftu-2
eef-2	eef-2
egl-1	egl-1
egl-2	egl-2
egl-3	egl-3
egl-4	egl-4
egl-5	egl-5
egl-6	egl-6
egl-8	egl-8
egl-9	egl-9
egl-10	egl-10
egl-13	egl-13
egl-15	egl-15
egl-17	egl-17
egl-18	egl-18
egl-19	egl-19
egl-20	egl-20
egl-21	egl-21
egl-23	egl-23
egl-26	egl-26
egl-27	egl-27
egl-30	egl-30
egl-36	egl-36
egl-43	egl-43
egl-44	egl-44
egl-45	egl-45
egl-46	egl-46
egl-47	egl-47
ego-2	ego-2
ehs-1	ehs-1
eif-3.B	eif-3.B
eif-3.C	eif-3.C
eif-3.D	eif-3.D
eif-3.E	eif-3.E
eif-3.F	eif-3.F
eif-3.G	eif-3.G
eif-3.H	eif-3.H
eif-3.I	eif-3.I
eif-3.K	eif-3.K
eif-6	eif-6
elb-1	elb-1
elo-1	elo-1
elo-2	elo-2
elo-3	elo-3
elo-4	elo-4
elo-5	elo-5
elo-6	elo-6
elo-7	elo-7
elo-8	elo-8
elo-9	elo-9
elp-1	elp-1
elt-1	elt-1
elt-2	elt-2
elt-3	elt-3
elt-6	elt-6
emb-4	emb-4
emb-5	emb-5
emb-8	emb-8
emb-27	emb-27
emb-30	emb-30
sec-61.G	sec-61.G
emr-1	emr-1
end-1	end-1
end-3	end-3
eor-1	eor-1
eor-2	eor-2
epi-1	epi-1
epn-1	epn-1
eps-8	eps-8
erd-2.1	erd-2.1
eri-1	eri-1
erm-1	erm-1
ero-1	ero-1
F35A5.8	F35A5.8
qars-1	qars-1
ears-1	ears-1
ears-2	ears-2
etr-1	etr-1
fos-1	fos-1
evl-14	evl-14
evl-20	evl-20
exc-1	exc-1
exc-4	exc-4
exc-5	exc-5
exc-7	exc-7
exl-1	exl-1
exo-3	exo-3
exp-1	exp-1
exp-2	exp-2
eya-1	eya-1
far-1	far-1
far-2	far-2
far-5	far-5
far-7	far-7
far-8	far-8
fat-1	fat-1
fat-2	fat-2
fat-3	fat-3
fat-4	fat-4
fat-5	fat-5
fax-1	fax-1
fbl-1	fbl-1
fbp-1	fbp-1
fce-1	fce-1
fce-2	fce-2
feh-1	feh-1
fem-1	fem-1
fem-2	fem-2
fem-3	fem-3
fer-1	fer-1
fib-1	fib-1
fis-1	fis-1
fis-2	fis-2
fkb-1	fkb-1
fkb-2	fkb-2
fkb-3	fkb-3
fkb-4	fkb-4
fkb-5	fkb-5
fkb-6	fkb-6
fkb-7	fkb-7
fkh-2	fkh-2
fkh-6	fkh-6
fkh-8	fkh-8
fkh-9	fkh-9
fkh-10	fkh-10
fli-1	fli-1
flp-1	flp-1
flp-2	flp-2
flp-3	flp-3
flp-4	flp-4
flp-5	flp-5
flp-6	flp-6
flp-7	flp-7
flp-8	flp-8
flp-9	flp-9
flp-10	flp-10
flp-11	flp-11
flp-12	flp-12
flp-13	flp-13
flp-14	flp-14
flp-15	flp-15
flp-16	flp-16
flp-17	flp-17
flp-18	flp-18
flp-19	flp-19
flp-20	flp-20
flp-21	flp-21
flr-2	flr-2
flr-4	flr-4
baz-2	baz-2
fmi-1	fmi-1
fmo-4	fmo-4
fog-1	fog-1
fog-3	fog-3
fox-1	fox-1
