	gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	int_term_x_neg_one	neg.log.p.adj	is.sig	int_term_abs	int.direction
469	egl-6	19.3353420598775	1.53875736337229	0.50490374205713	12.1313012075417	0.002321247310895	0.004684492311546	-1.53875736337229	2.32933746950223	TRUE	1.53875736337229	negative
471	larp-5	1502.25675228866	1.5375556289148	0.327228024384777	30.1178156914645	2.88402764558941E-07	1.48400615228118E-06	-1.5375556289148	5.82856429858783	TRUE	1.5375556289148	negative
472	C45G9.2	108.232584183054	1.53700539635212	0.315947872750613	25.246887469959	3.29388204802121E-06	1.35189302300541E-05	-1.53700539635212	4.86905767330311	TRUE	1.53700539635212	negative
473	R144.6	132.41555285298	1.53695993990521	0.3169224129997	59.1455467289847	1.43452365221802E-13	2.25232833840918E-12	-1.53695993990521	11.6473682989161	TRUE	1.53695993990521	negative
474	polh-1	330.109824598666	1.53684909902008	0.356438096612456	22.0338715363986	1.64212263856581E-05	5.74823446020355E-05	-1.53684909902008	4.24046552608131	TRUE	1.53684909902008	negative
475	dgk-4	1298.66922014972	1.53656950407331	0.336042766867396	22.5287016652618	1.28219651212367E-05	4.61044626331619E-05	-1.53656950407331	4.33625703549634	TRUE	1.53656950407331	negative
476	rfc-3	450.460906475801	1.53656840897614	0.355501390909859	18.7383272133695	8.53147152446237E-05	0.000249808578299	-1.53656840897614	3.60239265225511	TRUE	1.53656840897614	negative
477	nas-9	229.615892379116	1.53527154230306	0.415826883506634	16.3176020268199	0.000286205345531	0.000734832633414	-1.53527154230306	3.13381156521745	TRUE	1.53527154230306	negative
478	sygl-1	336.298515702434	1.53375992960471	0.625538517198455	6.8298524242208	0.032878832671684	0.049007035112527	-1.53375992960471	1.30974157117067	TRUE	1.53375992960471	negative
479	C48B6.3	455.666328652152	1.53303742476189	0.303600353591577	46.7440972984165	7.07372612084034E-11	7.21385326685317E-10	-1.53303742476189	9.14183269568055	TRUE	1.53303742476189	negative
480	mex-3	2978.16985336594	1.5297976507216	0.62806933640134	17.5501766868702	0.000154535248281	0.000425170462125	-1.5297976507216	3.37143691484891	TRUE	1.5297976507216	negative
481	C16C2.4	694.48106753041	1.52904824209423	0.193452717381454	89.1183059205989	4.44841965582777E-20	1.57727409518556E-18	-1.52904824209423	17.8020928293833	TRUE	1.52904824209423	negative
482	ZK973.9	218.848367713285	1.52826899077378	0.384882782544307	16.0544823541096	0.00032644757882	0.0008257974661	-1.52826899077378	3.08312645406059	TRUE	1.52826899077378	negative
483	wip-1	375.722106321306	1.52766013595353	0.399943801262775	19.4791972150462	5.89041737891324E-05	0.000178985781196	-1.52766013595353	3.74718146842452	TRUE	1.52766013595353	negative
484	cpg-8	310.171551530353	1.52688613417973	0.269352926038012	80.9818035780746	2.60030796179018E-18	7.38570229571599E-17	-1.52688613417973	16.1316082019563	TRUE	1.52688613417973	negative
485	B0393.3	828.701273546431	1.52649670062274	0.444579070040879	12.0551522657175	0.002411331648443	0.0048425617576	-1.52649670062274	2.31492483197925	TRUE	1.52649670062274	negative
486	gst-30	93.0200875672844	1.5262869898624	0.570323144935966	42.38172524912	6.26506087750393E-10	5.35832842462557E-09	-1.5262869898624	8.27097067097578	TRUE	1.5262869898624	negative
487	T05C3.2	185.094673614324	1.52557889322826	0.524571339022551	18.25313486837	0.000108738196243	0.000310995888185	-1.52557889322826	3.50724535293577	TRUE	1.52557889322826	negative
488	M01E5.4	240.535916613399	1.52503823694212	0.3017641377724	30.0656420516286	2.96025266693506E-07	1.51812191367531E-06	-1.52503823694212	5.81869335076567	TRUE	1.52503823694212	negative
489	prom-1	499.299650232369	1.52494708177388	0.597827944200017	37.1479071841635	8.57895614661329E-09	5.95742298430189E-08	-1.52494708177388	7.22494156336823	TRUE	1.52494708177388	negative
490	F15B9.10	365.953933659671	1.52419671211153	0.217171343500527	99.6431456665328	2.30550378088011E-22	1.06871577860018E-20	-1.52419671211153	19.9711377786058	TRUE	1.52419671211153	negative
491	F56C9.3	469.411021187909	1.52395826925177	0.545361826684216	18.2153264556533	0.000110813358391	0.000316170914374	-1.52395826925177	3.50007808477659	TRUE	1.52395826925177	negative
492	C08F8.3	335.521843658987	1.52354146389546	0.573704777168564	22.5672593651117	1.25771399367993E-05	4.53454594085005E-05	-1.52354146389546	4.34346619377607	TRUE	1.52354146389546	negative
493	patr-1	2666.10344084089	1.52308943383334	0.326638390420213	27.8351863241029	9.02954960817843E-07	4.21116799670621E-06	-1.52308943383334	5.37559743286443	TRUE	1.52308943383334	negative
494	R02F11.4	399.719874831386	1.52301785588862	0.385732146784282	15.6773342869682	0.000394194094834	0.000978449320233	-1.52301785588862	3.00946166414308	TRUE	1.52301785588862	negative
495	lrr-1	298.832756347745	1.52099889924243	0.374645022233098	16.808151062124	0.000223952735398	0.000591098321577	-1.52099889924243	3.22834027382804	TRUE	1.52099889924243	negative
496	F41H10.3	907.860001326161	1.52049099341264	0.403017973089965	14.3785047523396	0.000754653106288	0.001743435914161	-1.52049099341264	2.75859401194603	TRUE	1.52049099341264	negative
497	T24D1.2	524.40753109279	1.51892809024309	0.411926553583642	13.6768869213811	0.00107177035465	0.002369428183388	-1.51892809024309	2.62535645009223	TRUE	1.51892809024309	negative
499	usip-1	921.500060661968	1.51167958276228	0.29915696053831	28.1428470045425	7.742093651914E-07	3.66014740947881E-06	-1.51167958276228	5.4365014233941	TRUE	1.51167958276228	negative
500	T04A8.7	949.604229798009	1.511412311093	0.235189006050849	56.8747778540403	4.46476812773872E-13	6.44322602585258E-12	-1.511412311093	11.1908966335056	TRUE	1.511412311093	negative
501	lin-41	2434.1028293716	1.50971463436286	0.595957267836209	11.9856573224779	0.002496592039625	0.00499878600604	-1.50971463436286	2.30113545464273	TRUE	1.50971463436286	negative
502	Y65A5A.2	404.17881698173	1.50750816379928	0.627507637247902	28.4850094987837	6.52467342120701E-07	3.12181425354266E-06	-1.50750816379928	5.50559294081918	TRUE	1.50750816379928	negative
503	K03B4.2	484.432907850582	1.50730852819324	0.247642705127864	43.3534809673487	3.85399566916222E-10	3.45055063757433E-09	-1.50730852819324	8.46211159484609	TRUE	1.50730852819324	negative
504	acd-2	71.4047654355642	1.50607229325907	0.334738159716055	21.9718649910909	1.69383124059877E-05	5.90414873838921E-05	-1.50607229325907	4.2288427102216	TRUE	1.50607229325907	negative
506	ttr-44	1127.17293477015	1.50443537568774	0.461231973247086	40.7330750163287	1.42864769466903E-09	1.14763387205671E-08	-1.50443537568774	7.94019664217035	TRUE	1.50443537568774	negative
507	rnp-8	764.461390430133	1.50330388013891	0.69068283626226	34.8190018127449	2.74884228998684E-08	1.7324663473325E-07	-1.50330388013891	6.76133519268138	TRUE	1.50330388013891	negative
508	cfp-1	517.699880978491	1.50014134643662	0.320456543816924	27.276874451113	1.19371862817871E-06	5.44624587581494E-06	-1.50014134643662	5.26390275592679	TRUE	1.50014134643662	negative
509	zhit-1	88.5482861852752	1.49912057202557	0.23985045427919	39.8311417120332	2.24273248300795E-09	1.74149234431103E-08	-1.49912057202557	7.75907843038219	TRUE	1.49912057202557	negative
510	pigv-1	912.795143041003	1.49894018119606	0.357778127433511	24.7564089086082	4.2093410011989E-06	1.68310767142785E-05	-1.49894018119606	4.77388810053562	TRUE	1.49894018119606	negative
511	ZK1010.10	16.7786508590735	1.49321057062431	0.45670679662373	22.1856112820914	1.52214393395161E-05	5.37215466208104E-05	-1.49321057062431	4.26985149266723	TRUE	1.49321057062431	negative
512	parp-2	513.991123566863	1.49197331679664	0.334842135966293	19.9752273240626	4.59657657197204E-05	0.000144510105498	-1.49197331679664	3.84010178191392	TRUE	1.49197331679664	negative
