baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
abcf-1	1446.92643462492	-1.1599574825019	0.10103108302287	-11.481194180996	1.63999575958291e-30	3.80934372963422e-29
abcf-2	3466.15908644899	-0.758860992822019	0.12346610102286	-6.14631049766054	7.93059685681595e-10	3.2902298001854e-09
abcf-3	1387.92646407564	-0.762426364430565	0.101657355521253	-7.49996260006159	6.38360446998158e-14	3.8882614712493e-13
abch-1	45.5130671825053	1.29532668502163	0.455618206927685	2.8430090486424	0.00446898016229929	0.00786810910521224
abcx-1	76.6169093554289	4.04174090205943	0.362075503372323	11.1627018796223	6.2075814817051e-29	1.26852638370416e-27
abf-5	16.9905258142653	1.55498632253274	0.555379663682766	2.79986183185301	0.00511244841056551	0.00892760886828694
abf-6	60.2238666035342	1.56593428568735	0.549201891646094	2.85129077213092	0.00435421315774505	0.0076786749824002
abhd-11.1	77.9091391803314	-0.0112673721363299	0.470802010710476	-0.0239322940004579	0.980906614767512	0.985046237543892
abhd-11.2	230.966523838973	-0.6938675157083	0.0984242245788294	-7.0497635991287	1.79222012981589e-12	9.55731730581104e-12
abhd-12	676.692068748117	-1.28066486003995	0.136558790001763	-9.3781210277523	6.71588337771189e-21	7.3083007325751e-20
abhd-14	97.8322758237161	0.337237602687074	0.246567657397707	1.36772846141422	0.171397087614514	0.219195033342436
abi-1	694.365331857768	-1.25058552694825	0.193284923502287	-6.47016593062652	9.78953564381283e-11	4.40446838966167e-10
abl-1	515.460675079201	0.926547972052646	0.171639449563564	5.39822269535719	6.73042945571517e-08	2.25357844314565e-07
abt-1	248.272311989884	1.66771270663302	0.422182842287913	3.95021431376811	7.80812466142943e-05	0.000176764056817307
abt-2	378.841430480154	0.3107134397749	0.200381972592461	1.55060575437508	0.120996192292858	0.16033006151119
abt-4	823.76644734973	0.320664812203625	0.201602290659648	1.59058119406481	0.111703859527028	0.149198569017764
abtm-1	659.889069035849	1.28465522328018	0.0897189280249372	14.3186644285708	1.67307649128907e-46	1.01791494708656e-44
abts-1	1778.28993864988	-0.212756629984873	0.21259938045158	-1.00073965188873	0.316952692034622	0.378237983540258
abts-2	46.2474089902741	-1.19044645744274	0.35480512266625	-3.35521214715532	0.000793041418883793	0.00156879503295911
abts-3	273.012938593302	-0.121434857019193	0.198720326852793	-0.611084225466018	0.541143822380548	0.602033044161134
abts-4	229.744678667533	-2.07750154972791	0.213364218938993	-9.73687884528533	2.09902331153176e-22	2.6196202354175e-21
abu-10	48.4794494447081	3.82401786579523	1.20239495858495	3.1803342474885	0.00147105267959419	0.00278895752356491
abu-11	62.5372245246695	-1.88753234557508	1.27336069916232	-1.48232338787965	0.138254268112281	0.180760281190025
abu-12	538.439778812689	2.71508301276315	0.463993654109069	5.85155203895294	4.87006853993897e-09	1.87046965300095e-08
abu-13	976.761255635239	1.76934327461758	0.374468374659161	4.72494713666549	2.30175225168112e-06	6.39521616787789e-06
abu-14	526.6008259821	3.26874085168019	0.989421804868827	3.30368790701307	0.000954219965117488	0.00186660346848339
AC3.5	2708.47286589434	-0.684640452534677	0.218064758422633	-3.139619888546	0.00169167178445975	0.00317685399298403
AC7.3	36.2935170965818	2.9657470660665	0.475311887927979	6.23958108642105	4.387442767052e-10	1.87398233544447e-09
acaa-2	1913.09691478824	-0.44887652995751	0.0974915290840886	-4.60426186946298	4.13931346840937e-06	1.11282371628741e-05
acbp-1	616.491336941119	-1.99639103374389	0.28290836494913	-7.05667021935836	1.70539703364526e-12	9.12613265181084e-12
acbp-3	654.760046553538	3.113533275265	0.391999799252608	7.94269099423341	1.97841380288762e-15	1.38012084699157e-14
acbp-4	37.2360556600598	1.93413999569395	0.36206498655036	5.34196917001507	9.1942294718945e-08	3.02092080960559e-07
acbp-5	192.803869100436	-1.1574036920599	0.161347645595744	-7.17335346162892	7.31825807529995e-13	4.05610287113415e-12
acbp-6	28.4684182848457	0.250148868270938	0.370896722519747	0.674443458468738	0.50002942131222	0.562191835721467
acbp-7	2.82401348148404	-0.560675789363704	0.966630235154588	-0.580031297359573	0.561893512304806	0.621951181492647
acc-1	23.4086318970687	1.44635397359398	0.475716611362994	3.04036886466918	0.00236288563866518	0.00434365311911189
acc-2	21.0466879963919	2.42635978334184	0.390860003541492	6.20774640883477	5.37497915362256e-10	2.27671189782399e-09
acc-3	23.3299635052058	0.1146156133705	0.359600767748513	0.3187301687038	0.749931135546023	0.793817971473587
acc-4	35.9603583292205	0.374991969727497	0.325138173695009	1.15333110679047	0.248774506939351	0.304617200721163
acd-2	71.4047654355642	0.000912834953202438	0.214635576680257	0.00425295268995544	0.996606644940474	0.998378141455945
acd-3	60.5018666423032	0.372491138693453	0.230534098520478	1.61577459076131	0.106143057110251	0.14241070737208
acd-4	15.3313226908015	1.93657505770399	0.581600759546723	3.32973268331575	0.000869293973935612	0.00171047406705302
acd-5	150.408006122971	1.55877734173268	0.257714415568701	6.0484677905693	1.4622984852684e-09	5.89544133292695e-09
acdh-11	730.736714973642	0.0366596485210929	0.112826038873363	0.324921878736166	0.745240197715017	0.789789394015479
