wbid,term,found
WBGene00044024,epithelial system WBbt:0005730,1.0
WBGene00003545,epithelial system WBbt:0005730,1.0
WBGene00017429,epithelial system WBbt:0005730,1.0
WBGene00016276,epithelial system WBbt:0005730,1.0
WBGene00016319,epithelial system WBbt:0005730,1.0
WBGene00008511,epithelial system WBbt:0005730,1.0
WBGene00044630,epithelial system WBbt:0005730,1.0
WBGene00022591,epithelial system WBbt:0005730,1.0
WBGene00004393,epithelial system WBbt:0005730,1.0
WBGene00010285,epithelial system WBbt:0005730,1.0
WBGene00020741,epithelial system WBbt:0005730,1.0
WBGene00000220,epithelial system WBbt:0005730,1.0
WBGene00022517,epithelial system WBbt:0005730,1.0
WBGene00008448,epithelial system WBbt:0005730,1.0
WBGene00000902,epithelial system WBbt:0005730,1.0
WBGene00022415,epithelial system WBbt:0005730,1.0
WBGene00011261,epithelial system WBbt:0005730,1.0
WBGene00021389,epithelial system WBbt:0005730,1.0
WBGene00010267,epithelial system WBbt:0005730,1.0
WBGene00007141,epithelial system WBbt:0005730,1.0
WBGene00001075,epithelial system WBbt:0005730,1.0
WBGene00010835,epithelial system WBbt:0005730,1.0
WBGene00005016,epithelial system WBbt:0005730,1.0
WBGene00044772,epithelial system WBbt:0005730,1.0
WBGene00009904,epithelial system WBbt:0005730,1.0
WBGene00001705,epithelial system WBbt:0005730,1.0
WBGene00007776,epithelial system WBbt:0005730,1.0
WBGene00008433,epithelial system WBbt:0005730,1.0
WBGene00044445,epithelial system WBbt:0005730,1.0
WBGene00012396,epithelial system WBbt:0005730,1.0
WBGene00000402,epithelial system WBbt:0005730,1.0
WBGene00044662,epithelial system WBbt:0005730,1.0
WBGene00008222,epithelial system WBbt:0005730,1.0
WBGene00003966,epithelial system WBbt:0005730,1.0
WBGene00009304,epithelial system WBbt:0005730,1.0
WBGene00015300,epithelial system WBbt:0005730,1.0
WBGene00018675,epithelial system WBbt:0005730,1.0
WBGene00013592,epithelial system WBbt:0005730,1.0
WBGene00001828,epithelial system WBbt:0005730,1.0
WBGene00009816,epithelial system WBbt:0005730,1.0
WBGene00012796,epithelial system WBbt:0005730,1.0
WBGene00007264,epithelial system WBbt:0005730,1.0
WBGene00019021,epithelial system WBbt:0005730,1.0
WBGene00011548,epithelial system WBbt:0005730,1.0
WBGene00003534,epithelial system WBbt:0005730,1.0
WBGene00011817,epithelial system WBbt:0005730,1.0
WBGene00044641,epithelial system WBbt:0005730,1.0
WBGene00013891,epithelial system WBbt:0005730,1.0
WBGene00022274,epithelial system WBbt:0005730,1.0
WBGene00000251,epithelial system WBbt:0005730,1.0
WBGene00003681,epithelial system WBbt:0005730,1.0
WBGene00019293,epithelial system WBbt:0005730,1.0
WBGene00018288,epithelial system WBbt:0005730,1.0
WBGene00022465,epithelial system WBbt:0005730,1.0
WBGene00012032,epithelial system WBbt:0005730,1.0
WBGene00006952,epithelial system WBbt:0005730,1.0
WBGene00017307,epithelial system WBbt:0005730,1.0
WBGene00007996,epithelial system WBbt:0005730,1.0
WBGene00001065,epithelial system WBbt:0005730,1.0
WBGene00020714,epithelial system WBbt:0005730,1.0
WBGene00016429,epithelial system WBbt:0005730,1.0
WBGene00009108,epithelial system WBbt:0005730,1.0
WBGene00003527,epithelial system WBbt:0005730,1.0
WBGene00007925,epithelial system WBbt:0005730,1.0
WBGene00001432,epithelial system WBbt:0005730,1.0
WBGene00009014,epithelial system WBbt:0005730,1.0
WBGene00016962,epithelial system WBbt:0005730,1.0
WBGene00012429,epithelial system WBbt:0005730,1.0
WBGene00021213,epithelial system WBbt:0005730,1.0
WBGene00011831,epithelial system WBbt:0005730,1.0
WBGene00019855,epithelial system WBbt:0005730,1.0
WBGene00007758,epithelial system WBbt:0005730,1.0
WBGene00022837,epithelial system WBbt:0005730,1.0
WBGene00077697,epithelial system WBbt:0005730,1.0
WBGene00006960,epithelial system WBbt:0005730,1.0
WBGene00022024,epithelial system WBbt:0005730,1.0
WBGene00010714,epithelial system WBbt:0005730,1.0
WBGene00019863,epithelial system WBbt:0005730,1.0
WBGene00016180,epithelial system WBbt:0005730,1.0
WBGene00018133,epithelial system WBbt:0005730,1.0
WBGene00011508,epithelial system WBbt:0005730,1.0
WBGene00016397,epithelial system WBbt:0005730,1.0
WBGene00008605,epithelial system WBbt:0005730,1.0
WBGene00006525,epithelial system WBbt:0005730,1.0
WBGene00012939,epithelial system WBbt:0005730,1.0
WBGene00000272,epithelial system WBbt:0005730,1.0
WBGene00000968,epithelial system WBbt:0005730,1.0
WBGene00008251,epithelial system WBbt:0005730,1.0
WBGene00020194,epithelial system WBbt:0005730,1.0
WBGene00012257,epithelial system WBbt:0005730,1.0
WBGene00009094,epithelial system WBbt:0005730,1.0
WBGene00020083,epithelial system WBbt:0005730,1.0
WBGene00010673,epithelial system WBbt:0005730,1.0
WBGene00018562,epithelial system WBbt:0005730,1.0
WBGene00002094,epithelial system WBbt:0005730,1.0
WBGene00008277,epithelial system WBbt:0005730,1.0
WBGene00001716,epithelial system WBbt:0005730,1.0
WBGene00004174,epithelial system WBbt:0005730,1.0
WBGene00009261,epithelial system WBbt:0005730,1.0
WBGene00017998,epithelial system WBbt:0005730,1.0
WBGene00007560,epithelial system WBbt:0005730,1.0
WBGene00018113,epithelial system WBbt:0005730,1.0
WBGene00006947,epithelial system WBbt:0005730,1.0
WBGene00020626,epithelial system WBbt:0005730,1.0
WBGene00003552,epithelial system WBbt:0005730,1.0
